time,ch3_clamp_diode
-0.0184563,0.02
-0.0184531,5.96046e-10
-0.0184499,5.96046e-10
-0.0184467,0.02
-0.0184435,5.96046e-10
-0.0184403,5.96046e-10
-0.0184371,0.02
-0.0184339,5.96046e-10
-0.0184307,5.96046e-10
-0.0184275,0.02
-0.0184243,0.02
-0.0184211,0.02
-0.0184179,0.02
-0.0184147,0.02
-0.0184115,0.02
-0.0184083,5.96046e-10
-0.0184051,0.02
-0.0184019,0.02
-0.0183987,5.96046e-10
-0.0183955,0.02
-0.0183923,5.96046e-10
-0.0183891,0.02
-0.0183859,5.96046e-10
-0.0183827,5.96046e-10
-0.0183795,0.02
-0.0183763,5.96046e-10
-0.0183731,0.02
-0.0183699,5.96046e-10
-0.0183667,0.02
-0.0183635,5.96046e-10
-0.0183603,5.96046e-10
-0.0183571,5.96046e-10
-0.0183539,5.96046e-10
-0.0183507,5.96046e-10
-0.0183475,5.96046e-10
-0.0183443,5.96046e-10
-0.0183411,0.02
-0.0183379,0.02
-0.0183347,0.02
-0.0183315,-0.02
-0.0183283,5.96046e-10
-0.0183251,5.96046e-10
-0.0183219,5.96046e-10
-0.0183187,5.96046e-10
-0.0183155,5.96046e-10
-0.0183123,0.02
-0.0183091,0.02
-0.0183059,0.02
-0.0183027,0.02
-0.0182995,0.02
-0.0182963,5.96046e-10
-0.0182931,5.96046e-10
-0.0182899,0.02
-0.0182867,5.96046e-10
-0.0182835,0.02
-0.0182803,0.02
-0.0182771,0.02
-0.0182739,5.96046e-10
-0.0182707,5.96046e-10
-0.0182675,5.96046e-10
-0.0182643,0.02
-0.0182611,0.02
-0.0182579,5.96046e-10
-0.0182547,0.02
-0.0182515,0.02
-0.0182483,0.02
-0.0182451,0.02
-0.0182419,5.96046e-10
-0.0182387,5.96046e-10
-0.0182355,5.96046e-10
-0.0182323,5.96046e-10
-0.0182291,0.02
-0.0182259,5.96046e-10
-0.0182227,0.02
-0.0182195,5.96046e-10
-0.0182163,0.02
-0.0182131,5.96046e-10
-0.0182099,5.96046e-10
-0.0182067,0.02
-0.0182035,5.96046e-10
-0.0182003,0.02
-0.0181971,0.02
-0.0181939,0.02
-0.0181907,0.02
-0.0181875,0.02
-0.0181843,5.96046e-10
-0.0181811,0.02
-0.0181779,0.02
-0.0181747,0.02
-0.0181715,5.96046e-10
-0.0181683,0.02
-0.0181651,5.96046e-10
-0.0181619,5.96046e-10
-0.0181587,0.02
-0.0181555,5.96046e-10
-0.0181523,5.96046e-10
-0.0181491,5.96046e-10
-0.0181459,5.96046e-10
-0.0181427,0.02
-0.0181395,0.02
-0.0181363,5.96046e-10
-0.0181331,0.02
-0.0181299,5.96046e-10
-0.0181267,0.02
-0.0181235,0.02
-0.0181203,0.02
-0.0181171,5.96046e-10
-0.0181139,0.02
-0.0181107,0.02
-0.0181075,5.96046e-10
-0.0181043,5.96046e-10
-0.0181011,5.96046e-10
-0.0180979,0.02
-0.0180947,5.96046e-10
-0.0180915,5.96046e-10
-0.0180883,0.02
-0.0180851,5.96046e-10
-0.0180819,0.02
-0.0180787,0.02
-0.0180755,0.02
-0.0180723,5.96046e-10
-0.0180691,5.96046e-10
-0.0180659,5.96046e-10
-0.0180627,5.96046e-10
-0.0180595,5.96046e-10
-0.0180563,0.02
-0.0180531,0.02
-0.0180499,5.96046e-10
-0.0180467,0.02
-0.0180435,5.96046e-10
-0.0180403,5.96046e-10
-0.0180371,0.02
-0.0180339,5.96046e-10
-0.0180307,0.02
-0.0180275,5.96046e-10
-0.0180243,5.96046e-10
-0.0180211,-0.02
-0.0180179,0.02
-0.0180147,5.96046e-10
-0.0180115,5.96046e-10
-0.0180083,0.02
-0.0180051,5.96046e-10
-0.0180019,5.96046e-10
-0.0179987,5.96046e-10
-0.0179955,0.02
-0.0179923,0.02
-0.0179891,5.96046e-10
-0.0179859,5.96046e-10
-0.0179827,0.02
-0.0179795,0.02
-0.0179763,5.96046e-10
-0.0179731,5.96046e-10
-0.0179699,0.02
-0.0179667,0.02
-0.0179635,5.96046e-10
-0.0179603,5.96046e-10
-0.0179571,0.02
-0.0179539,0.02
-0.0179507,5.96046e-10
-0.0179475,5.96046e-10
-0.0179443,5.96046e-10
-0.0179411,5.96046e-10
-0.0179379,5.96046e-10
-0.0179347,0.02
-0.0179315,0.02
-0.0179283,0.02
-0.0179251,0.02
-0.0179219,0.02
-0.0179187,5.96046e-10
-0.0179155,5.96046e-10
-0.0179123,5.96046e-10
-0.0179091,0.02
-0.0179059,0.02
-0.0179027,5.96046e-10
-0.0178995,5.96046e-10
-0.0178963,0.02
-0.0178931,5.96046e-10
-0.0178899,5.96046e-10
-0.0178867,0.02
-0.0178835,0.02
-0.0178803,0.02
-0.0178771,0.02
-0.0178739,0.02
-0.0178707,5.96046e-10
-0.0178675,0.02
-0.0178643,0.02
-0.0178611,0.02
-0.0178579,0.02
-0.0178547,0.02
-0.0178515,0.02
-0.0178483,0.02
-0.0178451,5.96046e-10
-0.0178419,5.96046e-10
-0.0178387,5.96046e-10
-0.0178355,5.96046e-10
-0.0178323,5.96046e-10
-0.0178291,5.96046e-10
-0.0178259,0.02
-0.0178227,0.02
-0.0178195,0.02
-0.0178163,5.96046e-10
-0.0178131,5.96046e-10
-0.0178099,0.02
-0.0178067,0.02
-0.0178035,0.02
-0.0178003,0.02
-0.0177971,5.96046e-10
-0.0177939,5.96046e-10
-0.0177907,0.02
-0.0177875,5.96046e-10
-0.0177843,0.02
-0.0177811,5.96046e-10
-0.0177779,0.02
-0.0177747,5.96046e-10
-0.0177715,0.02
