time,ch1_thermo
-0.0186419,0.58
-0.0186387,0.58
-0.0186355,0.58
-0.0186323,0.58
-0.0186291,0.54
-0.0186259,0.58
-0.0186227,0.58
-0.0186195,0.58
-0.0186163,0.58
-0.0186131,0.58
-0.0186099,0.58
-0.0186067,0.58
-0.0186035,0.58
-0.0186003,0.58
-0.0185971,0.58
-0.0185939,0.58
-0.0185907,0.58
-0.0185875,0.58
-0.0185843,0.58
-0.0185811,0.58
-0.0185779,0.58
-0.0185747,0.58
-0.0185715,0.58
-0.0185683,0.58
-0.0185651,0.58
-0.0185619,0.58
-0.0185587,0.58
-0.0185555,0.58
-0.0185523,0.58
-0.0185491,0.62
-0.0185459,0.58
-0.0185427,0.62
-0.0185395,0.58
-0.0185363,0.58
-0.0185331,0.58
-0.0185299,0.58
-0.0185267,0.58
-0.0185235,0.58
-0.0185203,0.62
-0.0185171,0.58
-0.0185139,0.58
-0.0185107,0.54
-0.0185075,0.58
-0.0185043,0.58
-0.0185011,0.58
-0.0184979,0.58
-0.0184947,0.58
-0.0184915,0.58
-0.0184883,0.58
-0.0184851,0.58
-0.0184819,0.58
-0.0184787,0.58
-0.0184755,0.58
-0.0184723,0.58
-0.0184691,0.58
-0.0184659,0.62
-0.0184627,0.62
-0.0184595,0.58
-0.0184563,0.58
-0.0184531,0.58
-0.0184499,0.58
-0.0184467,0.58
-0.0184435,0.58
-0.0184403,0.58
-0.0184371,0.58
-0.0184339,0.62
-0.0184307,0.58
-0.0184275,0.58
-0.0184243,0.58
-0.0184211,0.58
-0.0184179,0.58
-0.0184147,0.58
-0.0184115,0.58
-0.0184083,0.58
-0.0184051,0.58
-0.0184019,0.58
-0.0183987,0.58
-0.0183955,0.58
-0.0183923,0.58
-0.0183891,0.58
-0.0183859,0.58
-0.0183827,0.62
-0.0183795,0.58
-0.0183763,0.58
-0.0183731,0.58
-0.0183699,0.58
-0.0183667,0.62
-0.0183635,0.58
-0.0183603,0.58
-0.0183571,0.58
-0.0183539,0.58
-0.0183507,0.58
-0.0183475,0.58
-0.0183443,0.58
-0.0183411,0.58
-0.0183379,0.58
-0.0183347,0.58
-0.0183315,0.58
-0.0183283,0.58
-0.0183251,0.58
-0.0183219,0.58
-0.0183187,0.58
-0.0183155,0.58
-0.0183123,0.62
-0.0183091,0.58
-0.0183059,0.58
-0.0183027,0.58
-0.0182995,0.58
-0.0182963,0.58
-0.0182931,0.58
-0.0182899,0.58
-0.0182867,0.58
-0.0182835,0.62
-0.0182803,0.58
-0.0182771,0.58
-0.0182739,0.58
-0.0182707,0.58
-0.0182675,0.58
-0.0182643,0.58
-0.0182611,0.58
-0.0182579,0.58
-0.0182547,0.58
-0.0182515,0.58
-0.0182483,0.58
-0.0182451,0.58
-0.0182419,0.58
-0.0182387,0.58
-0.0182355,0.58
-0.0182323,0.58
-0.0182291,0.58
-0.0182259,0.58
-0.0182227,0.58
-0.0182195,0.58
-0.0182163,0.58
-0.0182131,0.58
-0.0182099,0.58
-0.0182067,0.58
-0.0182035,0.58
-0.0182003,0.58
-0.0181971,0.58
-0.0181939,0.58
-0.0181907,0.58
-0.0181875,0.58
-0.0181843,0.58
-0.0181811,0.58
-0.0181779,0.58
-0.0181747,0.58
-0.0181715,0.58
-0.0181683,0.58
-0.0181651,0.58
-0.0181619,0.58
-0.0181587,0.58
-0.0181555,0.62
-0.0181523,0.58
-0.0181491,0.58
-0.0181459,0.58
-0.0181427,0.58
-0.0181395,0.62
-0.0181363,0.58
-0.0181331,0.58
-0.0181299,0.58
-0.0181267,0.58
-0.0181235,0.58
-0.0181203,0.58
-0.0181171,0.58
-0.0181139,0.58
-0.0181107,0.58
-0.0181075,0.54
-0.0181043,0.58
-0.0181011,0.58
-0.0180979,0.58
-0.0180947,0.58
-0.0180915,0.58
-0.0180883,0.62
-0.0180851,0.58
-0.0180819,0.62
-0.0180787,0.58
-0.0180755,0.58
-0.0180723,0.58
-0.0180691,0.58
-0.0180659,0.58
-0.0180627,0.58
-0.0180595,0.58
-0.0180563,0.58
-0.0180531,0.58
-0.0180499,0.58
-0.0180467,0.58
-0.0180435,0.58
-0.0180403,0.58
-0.0180371,0.58
-0.0180339,0.58
-0.0180307,0.58
-0.0180275,0.58
-0.0180243,0.58
-0.0180211,0.58
-0.0180179,0.58
-0.0180147,0.58
-0.0180115,0.58
-0.0180083,0.58
-0.0180051,0.58
-0.0180019,0.58
-0.0179987,0.58
-0.0179955,0.58
-0.0179923,0.58
-0.0179891,0.58
-0.0179859,0.58
-0.0179827,0.58
-0.0179795,0.58
-0.0179763,0.58
-0.0179731,0.58
-0.0179699,0.58
-0.0179667,0.58
-0.0179635,0.58
-0.0179603,0.58
-0.0179571,0.58
-0.0179539,0.62
-0.0179507,0.58
-0.0179475,0.58
-0.0179443,0.62
-0.0179411,0.58
-0.0179379,0.58
-0.0179347,0.58
-0.0179315,0.58
-0.0179283,0.58
-0.0179251,0.58
-0.0179219,0.58
-0.0179187,0.58
-0.0179155,0.58
-0.0179123,0.58
-0.0179091,0.58
-0.0179059,0.62
-0.0179027,0.58
-0.0178995,0.58
-0.0178963,0.58
-0.0178931,0.58
-0.0178899,0.58
-0.0178867,0.62
-0.0178835,0.58
-0.0178803,0.58
-0.0178771,0.54
-0.0178739,0.58
-0.0178707,0.58
-0.0178675,0.58
-0.0178643,0.58
-0.0178611,0.58
-0.0178579,0.58
-0.0178547,0.58
-0.0178515,0.58
-0.0178483,0.58
-0.0178451,0.58
-0.0178419,0.58
-0.0178387,0.58
-0.0178355,0.58
-0.0178323,0.58
-0.0178291,0.58
-0.0178259,0.58
-0.0178227,0.58
-0.0178195,0.58
-0.0178163,0.58
-0.0178131,0.58
-0.0178099,0.58
-0.0178067,0.58
-0.0178035,0.58
-0.0178003,0.58
-0.0177971,0.58
-0.0177939,0.58
-0.0177907,0.58
-0.0177875,0.62
-0.0177843,0.58
-0.0177811,0.58
-0.0177779,0.62
-0.0177747,0.58
-0.0177715,0.58
-0.0177683,0.58
-0.0177651,0.58
-0.0177619,0.58
-0.0177587,0.58
-0.0177555,0.62
-0.0177523,0.58
-0.0177491,0.58
-0.0177459,0.58
-0.0177427,0.58
-0.0177395,0.58
-0.0177363,0.58
-0.0177331,0.58
-0.0177299,0.58
-0.0177267,0.58
-0.0177235,0.58
-0.0177203,0.58
-0.0177171,0.58
-0.0177139,0.58
-0.0177107,0.58
-0.0177075,0.58
-0.0177043,0.58
-0.0177011,0.58
-0.0176979,0.58
-0.0176947,0.58
-0.0176915,0.58
-0.0176883,0.58
-0.0176851,0.58
-0.0176819,0.58
-0.0176787,0.58
-0.0176755,0.58
-0.0176723,0.58
-0.0176691,0.58
-0.0176659,0.58
-0.0176627,0.58
-0.0176595,0.58
-0.0176563,0.62
-0.0176531,0.58
-0.0176499,0.58
-0.0176467,0.58
-0.0176435,0.58
-0.0176403,0.58
-0.0176371,0.58
-0.0176339,0.58
-0.0176307,0.58
-0.0176275,0.58
-0.0176243,0.58
-0.0176211,0.58
-0.0176179,0.58
-0.0176147,0.58
-0.0176115,0.58
-0.0176083,0.58
-0.0176051,0.58
-0.0176019,0.58
-0.0175987,0.58
-0.0175955,0.58
-0.0175923,0.58
-0.0175891,0.58
-0.0175859,0.58
-0.0175827,0.58
-0.0175795,0.58
-0.0175763,0.58
-0.0175731,0.58
-0.0175699,0.58
-0.0175667,0.58
-0.0175635,0.58
-0.0175603,0.58
-0.0175571,0.58
-0.0175539,0.58
-0.0175507,0.58
-0.0175475,0.58
-0.0175443,0.58
-0.0175411,0.58
-0.0175379,0.58
-0.0175347,0.58
-0.0175315,0.62
-0.0175283,0.58
-0.0175251,0.58
-0.0175219,0.58
-0.0175187,0.58
-0.0175155,0.58
-0.0175123,0.58
-0.0175091,0.58
-0.0175059,0.58
-0.0175027,0.58
-0.0174995,0.58
-0.0174963,0.58
-0.0174931,0.58
-0.0174899,0.58
-0.0174867,0.58
-0.0174835,0.62
-0.0174803,0.58
-0.0174771,0.58
-0.0174739,0.58
-0.0174707,0.58
-0.0174675,0.58
-0.0174643,0.58
-0.0174611,0.58
-0.0174579,0.58
-0.0174547,0.58
-0.0174515,0.58
-0.0174483,0.58
-0.0174451,0.58
-0.0174419,0.58
-0.0174387,0.58
-0.0174355,0.58
-0.0174323,0.58
-0.0174291,0.58
-0.0174259,0.58
-0.0174227,0.58
-0.0174195,0.58
-0.0174163,0.58
-0.0174131,0.58
-0.0174099,0.58
-0.0174067,0.58
-0.0174035,0.58
-0.0174003,0.58
-0.0173971,0.58
-0.0173939,0.58
-0.0173907,0.58
-0.0173875,0.62
-0.0173843,0.58
-0.0173811,0.58
-0.0173779,0.58
-0.0173747,0.58
-0.0173715,0.58
-0.0173683,0.58
-0.0173651,0.54
-0.0173619,0.58
-0.0173587,0.58
-0.0173555,0.58
-0.0173523,0.58
-0.0173491,0.58
-0.0173459,0.58
-0.0173427,0.58
-0.0173395,0.54
-0.0173363,0.58
-0.0173331,0.58
-0.0173299,0.58
-0.0173267,0.58
-0.0173235,0.62
-0.0173203,0.58
-0.0173171,0.58
-0.0173139,0.58
-0.0173107,0.58
-0.0173075,0.58
-0.0173043,0.58
-0.0173011,0.58
-0.0172979,0.58
-0.0172947,0.58
-0.0172915,0.58
-0.0172883,0.58
-0.0172851,0.58
-0.0172819,0.58
-0.0172787,0.58
-0.0172755,0.58
-0.0172723,0.58
-0.0172691,0.62
-0.0172659,0.58
-0.0172627,0.58
-0.0172595,0.58
-0.0172563,0.58
-0.0172531,0.58
-0.0172499,0.58
-0.0172467,0.58
-0.0172435,0.58
-0.0172403,0.58
-0.0172371,0.58
-0.0172339,0.58
-0.0172307,0.58
-0.0172275,0.58
-0.0172243,0.58
-0.0172211,0.58
-0.0172179,0.58
-0.0172147,0.58
-0.0172115,0.58
-0.0172083,0.58
-0.0172051,0.58
-0.0172019,0.58
-0.0171987,0.58
-0.0171955,0.58
-0.0171923,0.58
-0.0171891,0.54
-0.0171859,0.58
-0.0171827,0.58
-0.0171795,0.58
-0.0171763,0.62
-0.0171731,0.58
-0.0171699,0.58
-0.0171667,0.58
-0.0171635,0.58
-0.0171603,0.58
-0.0171571,0.58
-0.0171539,0.58
-0.0171507,0.58
-0.0171475,0.58
-0.0171443,0.58
-0.0171411,0.58
-0.0171379,0.58
-0.0171347,0.58
-0.0171315,0.58
-0.0171283,0.54
-0.0171251,0.58
-0.0171219,0.58
-0.0171187,0.58
-0.0171155,0.58
-0.0171123,0.58
-0.0171091,0.58
-0.0171059,0.58
-0.0171027,0.58
-0.0170995,0.58
-0.0170963,0.58
-0.0170931,0.58
-0.0170899,0.58
-0.0170867,0.58
-0.0170835,0.58
-0.0170803,0.58
-0.0170771,0.54
-0.0170739,0.58
-0.0170707,0.58
-0.0170675,0.58
-0.0170643,0.58
-0.0170611,0.58
-0.0170579,0.58
-0.0170547,0.58
-0.0170515,0.58
-0.0170483,0.58
-0.0170451,0.58
-0.0170419,0.62
-0.0170387,0.58
-0.0170355,0.58
-0.0170323,0.58
-0.0170291,0.54
-0.0170259,0.58
-0.0170227,0.58
-0.0170195,0.58
-0.0170163,0.58
-0.0170131,0.58
-0.0170099,0.58
-0.0170067,0.58
-0.0170035,0.58
-0.0170003,0.58
-0.0169971,0.58
-0.0169939,0.58
-0.0169907,0.58
-0.0169875,0.58
-0.0169843,0.58
-0.0169811,0.58
-0.0169779,0.58
-0.0169747,0.58
-0.0169715,0.58
-0.0169683,0.58
-0.0169651,0.58
-0.0169619,0.58
-0.0169587,0.58
-0.0169555,0.58
-0.0169523,0.58
-0.0169491,0.58
-0.0169459,0.58
-0.0169427,0.58
-0.0169395,0.58
-0.0169363,0.58
-0.0169331,0.58
-0.0169299,0.58
-0.0169267,0.58
-0.0169235,0.58
-0.0169203,0.58
-0.0169171,0.58
-0.0169139,0.58
-0.0169107,0.58
-0.0169075,0.58
-0.0169043,0.58
-0.0169011,0.58
-0.0168979,0.58
-0.0168947,0.58
-0.0168915,0.58
-0.0168883,0.58
-0.0168851,0.58
-0.0168819,0.58
-0.0168787,0.58
-0.0168755,0.58
-0.0168723,0.58
-0.0168691,0.58
-0.0168659,0.58
-0.0168627,0.58
-0.0168595,0.58
-0.0168563,0.58
-0.0168531,0.58
-0.0168499,0.62
-0.0168467,0.58
-0.0168435,0.58
-0.0168403,0.58
-0.0168371,0.58
-0.0168339,0.58
-0.0168307,0.58
-0.0168275,0.58
-0.0168243,0.58
-0.0168211,0.58
-0.0168179,0.58
-0.0168147,0.58
-0.0168115,0.58
-0.0168083,0.58
-0.0168051,0.58
-0.0168019,0.54
-0.0167987,0.58
